Datum;Ereignis
2026-02-18;Barzahlung 9.750 EUR an der Warenrampe
2026-02-25;Kassenpfaendung 12.000 EUR
2026-03-04;Ueberweisung 20.000 EUR zur Abwendung der Vollstreckung
2026-03-12;Eigenantrag der Schuldnerin
2026-06-01;Eroeffnungsbeschluss AG Fuerth
2026-06-22;Anfechtungsschreiben des Verwalters
2026-07-01;Erwiderung Ra. Ottmann
2026-09-14;Klageschrift eingereicht
2026-10-26;Klageerwiderung
2026-11-16;Replik
2026-12-07;Duplik
2026-12-21;Beweisbeschluss
2027-02-18;Zeugenvernehmung Karow
2027-04-30;Sachverstaendigengutachten Fessenmayer
2027-07-09;Urteil LG Nuernberg-Fuerth
2027-08-12;Rechtskraft
2027-09-15;Zahlungseingang 44.930,45 EUR
2027-09-20;Schlussvermerk
