Datum;Ereignis
2024-12-15;Rueckzahlung Gesellschafterdarlehen 150.000 EUR
2025-09-30;LOI Kollibri Ventures GmbH unterzeichnet
2025-09-15;Zahlung Beraterhonorar 20.230 EUR
2025-10-20;Zahlung Vorschuss 15.000 EUR
2025-11-07;Absage Kollibri Ventures GmbH
2025-11-14;Eigenantrag der Schuldnerin
2025-11-17;Beschluss vorlaeufige Verwaltung
2026-02-20;Gutachten Eroeffnungsverfahren
2026-03-01;Eroeffnungsbeschluss
2026-05-12;Rueckforderungsschreiben der Verwalterin
2026-06-03;Antwort Ra. Okatan
2026-09-01;Klageschrift eingereicht
2026-10-13;Klageerwiderung
2026-11-03;Replik
2026-11-24;Duplik
2026-12-10;Beweisbeschluss
2027-03-04;Zeugenvernehmung Wittkamp
2027-06-15;Urteil LG Berlin
2027-07-20;Rechtskraft
2027-08-30;Zahlungseingang 178.170,15 EUR
