Objekt;Seriennummer;Standort;Zustand
1;HVF6-22091;Halle A Bielefeld;betriebsbereit
2;HVF6-22092;Halle A Bielefeld;betriebsbereit
3;HVF6-22093;Halle A Bielefeld;Softwarefehler
4;HVF6-22094;Halle A Bielefeld;Spindelschaden
5;HVF6-22095;Halle B Bielefeld;betriebsbereit
6;HVF6-22096;Halle B Bielefeld;betriebsbereit
7;HVF6-22097;Halle B Bielefeld;betriebsbereit
8;HVF6-22098;Halle B Bielefeld;Softwarefehler
9;HVF6-22099;Zweigwerk Herford;betriebsbereit
10;HVF6-22100;Zweigwerk Herford;betriebsbereit
11;HVF6-22101;Pilsen/Tschechien (streitig);unbekannt
12;HVF6-22102;Pilsen/Tschechien (streitig);unbekannt
