datum,ereignis,frist_ablauf,status
2023-03-01,Beginn Anstellungsvertrag GF Neufassung,,erledigt
2023-09-01,Antrag C0031 Statusfeststellung eingereicht,,erledigt
2025-09-02,Notarielle Satzungsaenderung Sperrminoritaet,,erledigt
2025-11-18,DRV-Anhoerung zugegangen,2025-12-18,erledigt
2026-02-09,DRV-Bescheid Statusfeststellung,2026-03-09,erledigt
2026-02-20,Widerspruch Mandant eigenhaendig eingelegt,,erledigt
2026-03-10,Nachbesserung Widerspruch durch Kanzlei,,erledigt
2026-05-04,Widerspruchsbescheid DRV,2026-06-04,erledigt
2026-05-12,Gesellschafterbeschluss Abberufungsantrag,2026-06-12,laeuft
2026-05-28,Klageschrift Sozialgericht Erlangen eingereicht,,erledigt
2026-06-30,Klageerwiderung DRV eingegangen,,erledigt
2026-09-08,Eroerterungstermin Sozialgericht,,erledigt
2026-09-15,Vergleichsvorschlag Kanzlei,,erledigt
2026-10-20,Vergleichsprotokoll unterzeichnet,,erledigt
2026-10-15,Nachtrag Sperrminoritaet erweitert (Vergleichsbedingung),,erledigt
2026-11-30,Zahlungsfrist Beitragsnachforderung aus Vergleich,2026-11-30,offen
