datum,ereignis,frist_ablauf,status
2026-04-03,Unfallereignis Rampe 4,,erledigt
2026-04-08,Unfallanzeige Arbeitgeber an BG,,erledigt
2026-04-21,Operation Rotatorenmanschette,,erledigt
2026-05-06,Akteneinsicht BG gewaehrt,,erledigt
2026-05-28,Anhoerungsschreiben BG,2026-06-11,erledigt
2026-06-18,Ablehnungsbescheid BG,2026-07-22,erledigt
2026-06-22,Zugang Ablehnungsbescheid,2026-07-22,erledigt
2026-07-20,Widerspruch eingelegt,,erledigt
2026-09-25,Widerspruchsbescheid BG,2026-10-25,erledigt
2026-10-20,Klageschrift Sozialgericht Trier,,erledigt
2026-11-25,Klageerwiderung BG,,erledigt
2027-01-08,Ambulante Untersuchung durch Sachverstaendigen,,erledigt
2027-01-14,Sachverstaendigengutachten vorgelegt,,erledigt
2027-03-15,Erwartete muendliche Verhandlung Sozialgericht Trier,,offen
2028-01-14,Empfohlene MdE-Nachuntersuchung,,offen
